,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
2,《滚石香港黄金十年刘若英精选》,滚石唱片,2003-03-14,想念,心情,我等你,刘若英,,http://musicdata.baidu.com/data2/lrc/2077863/2077863.lrc,2
3,《单身日志(演唱会live全记录)》,滚石唱片,2003-03-14,想念,心情,我等你,刘若英,,http://musicdata.baidu.com/data2/lrc/13858360/13858360.lrc,3
3,《关于你的歌》,滚石唱片,2006-06-16,想念,心情,痴心绝对,李圣杰,,http://musicdata.baidu.com/data2/lrc/8704322d686dc6147a050f7f7e8d2ac3/267775561/267775561.lrc,3
3,《Twins 3650 新城演唱会》,英皇唱片,2011-11-24,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/65137038/65137038.lrc,3
3,《爱的大游行》,滚石唱片,2005-03-04,想念,心情,听不到,梁静茹,,http://musicdata.baidu.com/data2/lrc/13827734/13827734.lrc,3
3,《情债》,环球唱片,2009-07-14,想念,心情,为爱笑着流泪,陈明真,,http://musicdata.baidu.com/data2/lrc/13917123/13917123.lrc,3
3,《来生缘》,环球唱片,2009-03-16,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/31546574/31546574.lrc,3
3,《下半辈子》,SONY MUSIC,2001-12-01,想念,心情,我爱的人,陈小春,,http://musicdata.baidu.com/data2/lrc/13798712/13798712.lrc,3
3,《英皇钢琴热恋系列 TWINS》,英皇唱片,2004-07-21,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/13798712/13798712.lrc,3
3,《2002任贤齐演唱会》,英皇唱片,2002-08-01,想念,心情,飞鸟-现场版,任贤齐,,http://musicdata.baidu.com/data2/lrc/65114560/65114560.lrc,3
3,《零4好玩演唱会》,英皇唱片,2004-02-13,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/65108324/65108324.lrc,3
3,《爱.回忆108》,英皇唱片,2006-09-29,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/31523650/31523650.lrc,3
3,《影视旗舰店2》,英皇唱片,2007-08-23,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/31523649/31523649.lrc,3
3,《毕业干什么》,英皇唱片,2003-05-27,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/31546568/31546568.lrc,3
3,《滚石香港黄金十年成龙精选》,滚石唱片,2003-04-14,想念,心情,感受,成龙,,http://musicdata.baidu.com/data2/lrc/31496846/31496846.lrc,3
3,《滚石香港黄金十年周华健精选》,滚石唱片,2003-03-14,想念,心情,风雨无阻,周华健,,http://musicdata.baidu.com/data2/lrc/31520618/31520618.lrc,3
3,《收获  新歌＋精选》,滚石唱片,2001-06-01,想念,心情,我等你,刘若英,,http://musicdata.baidu.com/data2/lrc/31534526/31534526.lrc,3
3,《爱的力量 10年情歌最精选》,滚石唱片,2007-02-09,想念,心情,真实,张惠妹,,http://musicdata.baidu.com/data2/lrc/13861967/13861967.lrc,3
3,《NOW CHINESE BEST 2》,滚石唱片,2000-10-26,想念,心情,我等你,刘若英,,http://musicdata.baidu.com/data2/lrc/31534525/31534525.lrc,3
3,《流浪汉》,滚石唱片,2000-08-02,想念,心情,我等你,刘若英,,http://musicdata.baidu.com/data2/lrc/31534524/31534524.lrc,3
3,《学友光年世界巡回演唱会07 [Encore 台北]》,滚石唱片,2000-08-02,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/1528498/1528498.lrc,3
4,《Jerry For You》,SONY MUSIC,2004-09-17,想念,心情,地心引力,言承旭,,http://musicdata.baidu.com/data2/lrc/14962419/14962419.lrc,4
4,《美丽的回忆》,SONY MUSIC,2006-06-01,想念,心情,千年等一回,高胜美,,http://musicdata.baidu.com/data2/lrc/65026794/65026794.lrc,4
4,《张学友24K Gold金藏集 Cd2》,环球唱片,2007-04-25,想念,心情,祝福,张学友,,http://musicdata.baidu.com/data2/lrc/13984652/13984652.lrc,4
4,《绝对收藏》,BMG,2008-12-09,想念,心情,我爱的人,陈小春,,http://musicdata.baidu.com/data2/lrc/1412508/1412508.lrc,4
4,《周蕙精选》,福茂唱片,1999-08-26,想念,心情,不想让你知道,周蕙,,http://musicdata.baidu.com/data2/lrc/13786248/13786248.lrc,4
4,《Twins 3650 新城演唱会》,英皇唱片,2011-11-24,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/13609275/13609275.lrc,4
4,《我们相爱6年》,英皇唱片,2007-02-01,想念,心情,下一站天后,Twins,,http://musicdata.baidu.com/data2/lrc/13894410/13894410.lrc,4
4,《恋爱的力量》,滚石唱片,2003-11-25,想念,心情,听不到,梁静茹,,http://musicdata.baidu.com/data2/lrc/239774719/239774719.lrc,4
4,《他&他 [好男真情歌]》,SONY MUSIC,2009-08-24,想念,心情,我爱的人,陈小春,,http://musicdata.baidu.com/data2/lrc/10546476/10546476.lrc,4
4,《越长大越孤单》,摩登天空,2008-03-18,想念,心情,越长大越孤单,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/14883264/14883264.lrc,4
4,《彭游恋歌 最爱精选》,SONY MUSIC,2008-05-20,想念,心情,相见恨晚,彭佳慧,,http://musicdata.baidu.com/data2/lrc/7287360/7287360.lrc,4
4,《北上列车》,滚石唱片,2009-09-07,想念,心情,公路,纵贯线,,http://musicdata.baidu.com/data2/lrc/13881741/13881741.lrc,4
4,《天亮说晚安》,环球唱片,2009-07-14,想念,心情,天亮说晚安,陈晓东,,http://musicdata.baidu.com/data2/lrc/2044732/2044732.lrc,4
4,《Bear Creek》,SONY MUSIC,2012-06-04,想念,心情,100,Brandi Carlile,,http://musicdata.baidu.com/data2/lrc/14916954/14916954.lrc,4
4,《想念式》,SONY MUSIC,2010-05-11,想念,心情,后来你好吗,苏醒,,http://musicdata.baidu.com/data2/lrc/297351/297351.lrc,4
4,《想念你的歌》,SONY MUSIC,2005-12-09,想念,心情,想念你的歌,张惠春,,http://musicdata.baidu.com/data2/lrc/817542/817542.lrc,4
4,《The One》,华谊兄弟,2006-10-11,想念,心情,想你零点零一分,张靓颖,,http://musicdata.baidu.com/data2/lrc/238963987/238963987.lrc,4
4,《下一个天亮》,华谊兄弟,2008-05-09,想念,心情,下一个天亮,郭静,,http://musicdata.baidu.com/data2/lrc/13765253/13765253.lrc,4
4,《想念式》,SONY MUSIC,2010-05-11,想念,心情,想念式,苏醒,,http://musicdata.baidu.com/data2/lrc/13895868/13895868.lrc,4
4,《想念式》,SONY MUSIC,2010-05-11,想念,心情,一首想念的歌,苏醒,,http://musicdata.baidu.com/data2/lrc/14956352/14956352.lrc,4
5,《星月神话》,海蝶音乐,2010-10-12,想念,心情,亲爱的还幸福吗,金莎,,http://musicdata.baidu.com/data2/lrc/241602980/241602980.lrc,5
5,《寻雾启示》,海蝶音乐,2009-12-24,想念,心情,灰色头像,许嵩,,http://musicdata.baidu.com/data2/lrc/240707354/240707354.lrc,5
5,《我不想忘记你》,福茂唱片,2007-06-29,想念,心情,我不想忘记你,郭静,,http://musicdata.baidu.com/data2/lrc/246647212/246647212.lrc,5
5,《我的丁文琪》,福茂唱片,2002-02-01,想念,心情,不说,丁文琪,,http://musicdata.baidu.com/data2/lrc/766234/766234.lrc,5
5,《十八般武艺》,SONY MUSIC,2010-08-13,想念,心情,需要人陪,王力宏,,http://musicdata.baidu.com/data2/lrc/240919319/240919319.lrc,5
5,《My Space》,亚神音乐,2008-07-29,想念,心情,纪念,蔡健雅,,http://musicdata.baidu.com/data2/lrc/955517/955517.lrc,5
5,《快乐为主》,环球唱片,2009-07-14,想念,心情,两个人的下雪天,许慧欣,,http://musicdata.baidu.com/data2/lrc/233850/233850.lrc,5
5,《星月神话》,海蝶音乐,2010-10-12,想念,心情,最近好吗,金莎,,http://musicdata.baidu.com/data2/lrc/241602939/241602939.lrc,5
5,《我不想忘记你》,福茂唱片,2007-06-29,想念,心情,你的香气,郭静,,http://musicdata.baidu.com/data2/lrc/13901664/13901664.lrc,5
5,《谜》,环球唱片,2006-10-06,想念,心情,威尼斯迷路,许慧欣,,http://musicdata.baidu.com/data2/lrc/13905974/13905974.lrc,5
5,"《1,1 Play n Fun》",滚石唱片,2009-11-06,想念,心情,一句话,卓文萱,,http://musicdata.baidu.com/data2/lrc/358007/358007.lrc,5
5,《陪着我的时候想着她》,福茂唱片,2011-08-25,想念,心情,离开,郭静,,http://musicdata.baidu.com/data2/lrc/239769195/239769195.lrc,5
5,《谜》,环球唱片,2006-10-06,想念,心情,不哭了,许慧欣,,http://musicdata.baidu.com/data2/lrc/240400352/240400352.lrc,5
5,《多想认识你》,英皇唱片,2008-06-03,想念,心情,离开以后,泳儿,,http://musicdata.baidu.com/data2/lrc/13913668/13913668.lrc,5
5,《星月神话》,海蝶音乐,2010-10-12,想念,心情,我懂了,金莎,,http://musicdata.baidu.com/data2/lrc/241603043/241603043.lrc,5
5,《苏格拉没有底》,海蝶音乐,2011-04-01,想念,心情,想象之中,许嵩,,http://musicdata.baidu.com/data2/lrc/13765092/13765092.lrc,5
5,《超级喜欢》,滚石唱片,2008-11-07,想念,心情,一个人勇敢,卓文萱,,http://musicdata.baidu.com/data2/lrc/13847512/13847512.lrc,5
5,《U-87》,环球唱片,2005-06-07,想念,心情,浮夸,陈奕迅,,http://musicdata.baidu.com/data2/lrc/6d096f72de9bf6fae76be5738388c8b7/263506075/263506075.lrc,5
5,《快乐男声陈楚生歌曲》,环球唱片,2007-07-03,想念,心情,姑娘,陈楚生,,http://musicdata.baidu.com/data2/lrc/1245142/1245142.lrc,5
5,《如果爱忘了》,海蝶音乐,2011-08-23,想念,心情,没收,戚薇,,http://musicdata.baidu.com/data2/lrc/239782495/239782495.lrc,5
6,《Lost & Found去寻找》,华谊兄弟,2011-07-19,想念,心情,离开的理由,牛奶咖啡,,http://musicdata.baidu.com/data2/lrc/13765319/13765319.lrc,6
6,《换季》,海蝶音乐,2007-05-30,想念,心情,换季,金莎,,http://musicdata.baidu.com/data2/lrc/28832619/28832619.lrc,6
6,《惊叹号》,杰威尔JVR音乐有限公司,2011-11-11,想念,心情,你好吗,周杰伦,,http://musicdata.baidu.com/data2/lrc/13762170/13762170.lrc,6
6,《我想要的感觉》,滚石唱片,2011-04-29,想念,心情,嗨嗨人生,张震岳,,http://musicdata.baidu.com/data2/lrc/13823203/13823203.lrc,6
6,《千嬅盛放》,滚石唱片,2009-12-04,想念,心情,再见二丁目,杨千嬅,,http://musicdata.baidu.com/data2/lrc/13801935/13801935.lrc,6
6,《范范的世界》,福茂唱片,2000-11-01,想念,心情,想太多,范玮琪,,http://musicdata.baidu.com/data2/lrc/308467/308467.lrc,6
6,《乐行者》,海蝶音乐,2003-04-10,想念,心情,会有那么一天,林俊杰,,http://musicdata.baidu.com/data2/lrc/13911917/13911917.lrc,6
6,《一比一》,福茂唱片,2005-06-01,想念,心情,全世界失眠,范玮琪,,http://musicdata.baidu.com/data2/lrc/13874853/13874853.lrc,6
6,《What'S Going On...?》,环球唱片,2006-11-23,想念,心情,白玫瑰,陈奕迅,,http://musicdata.baidu.com/data2/lrc/13767193/13767193.lrc,6
6,《2011 JJ林俊杰 I AM 世界巡回演唱会 小巨蛋 终极典藏版》,海蝶音乐,2011-11-08,想念,心情,记得,林俊杰,,http://musicdata.baidu.com/data2/lrc/13977311/13977311.lrc,6
6,《下一个天亮》,海蝶音乐,2008-05-09,想念,心情,慢慢纪念,郭静,,http://musicdata.baidu.com/data2/lrc/246651758/246651758.lrc,6
6,《快乐男声陈楚生歌曲》,海蝶音乐,2007-07-03,想念,心情,Sophia,陈楚生,,http://musicdata.baidu.com/data2/lrc/1386749/1386749.lrc,6
6,《格格Blue》,海蝶音乐,2005-12-30,想念,心情,情人节快乐,曹格,,http://musicdata.baidu.com/data2/lrc/246897372/246897372.lrc,6
6,《我需要你》,海蝶音乐,2002-09-01,想念,心情,我需要你 (卡拉版),满文军,,http://musicdata.baidu.com/data2/lrc/37ec8eb32e45960e490e8a3960d60895/276702037/276702037.lrc,6
6,《平底鞋女生》,竹书,2006-04-14,想念,心情,原来爱情没有了,迷子,,http://musicdata.baidu.com/data2/lrc/507309/507309.lrc,6
6,《只要你快乐》,滚石唱片,2005-08-12,想念,心情,只要你快乐,汪佩蓉,,http://musicdata.baidu.com/data2/lrc/13852622/13852622.lrc,6
6,《明敏龙情》,滚石唱片,2005-08-22,想念,心情,我的中国心,张明敏,,http://musicdata.baidu.com/data2/lrc/1417276/1417276.lrc,6
6,《气球》,滚石唱片,2001-11-01,想念,心情,白色婚礼,许哲佩,,http://musicdata.baidu.com/data2/lrc/793419/793419.lrc,6
6,《陪着我的时候想着她》,福茂唱片,2011-08-25,想念,心情,陪着我的时候想着她,郭静,,http://musicdata.baidu.com/data2/lrc/240199585/240199585.lrc,6
6,《快乐练习曲》,环球唱片,2006-06-01,想念,心情,灵药,周传雄,,http://musicdata.baidu.com/data2/lrc/13915410/13915410.lrc,6
7,《编号89757》,海蝶音乐,2005-04-01,想念,心情,突然累了,林俊杰,,http://musicdata.baidu.com/data2/lrc/13905400/13905400.lrc,7
7,《前任女友》,福茂唱片,2010-12-20,想念,心情,同城,黄雅莉,,http://musicdata.baidu.com/data2/lrc/13985828/13985828.lrc,7
7,《温暖如野》,SONY MUSIC,2011-03-15,想念,心情,想为你做的,王野,,http://musicdata.baidu.com/data2/lrc/b6b69e769a653c323131e34b580b93bb/277260463/277260463.lrc,7
