,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
23,中国城市民谣,合纵星光,2015-03-11,午后,场景,来吧丘比特,T榜,,http://musicdata.baidu.com/data2/lrc/a0738c66623d6e6ea93ec99972241599/271975121/271975121.lrc,23
23,流行舞曲,合纵星光,2015-03-11,午后,场景,幸福棒棒哒,T榜,,http://musicdata.baidu.com/data2/lrc/159af36ec5548d3f259bf2c1cc9eca54/271977905/271977905.lrc,23
23,国语流行,合纵星光,2015-03-11,午后,场景,留恋青春的回忆,T榜,,http://musicdata.baidu.com/data2/lrc/3a93284f4a85a2d87de76eed40d2e93f/271976405/271976405.lrc,23
23,《Hold On Tight》,SONY MUSIC,2008-12-22,午后,场景,Candles,Hey Monday,,http://musicdata.baidu.com/data2/lrc/239648973/239648973.lrc,23
23,独立民谣,SONY MUSIC,2008-12-22,午后,场景,拾梦,T榜,,http://musicdata.baidu.com/data2/lrc/7ed0779bb9a60827a4443b9d980e08ed/267542928/267542928.lrc,23
23,独立流行,SONY MUSIC,2008-12-22,午后,场景,人生不重来,T榜,,http://musicdata.baidu.com/data2/lrc/fb62fb2e17235e26c30014053bb7f6cf/271975353/271975353.lrc,23
23,国语流行,SONY MUSIC,2008-12-22,午后,场景,帶妳去飛-TMP,T榜,,http://musicdata.baidu.com/data2/lrc/c8071abecac3d605f15b78a22374cce3/267057195/267057195.lrc,23
23,校园民谣,SONY MUSIC,2008-12-22,午后,场景,【星尘】听心,T榜,,http://musicdata.baidu.com/data2/lrc/a05333a3a9ce0ee88643949efe46ca90/271976343/271976343.lrc,23
23,《Sketches Of Spain/Kind Of Blue/In A Silent Way (3 Pak)》,SONY MUSIC,2004-07-13,午后,场景,Flamenco Sketches,Miles Davis,,http://musicdata.baidu.com/data2/lrc/20dba48ebb241772cd3f76179306ffb5/8322687/8322687.lrc,23
23,成人抒情,SONY MUSIC,2004-07-13,午后,场景,我的爱,T榜,,http://musicdata.baidu.com/data2/lrc/73cabfa91613bf5cdfc0debe7285caa5/271973726/271973726.lrc,23
23,英式摇滚,SONY MUSIC,2004-07-13,午后,场景,青春-tbanger,T榜,,http://musicdata.baidu.com/data2/lrc/a63c61e4dbf324007678fab04d2367b7/271977441/271977441.lrc,23
23,国语流行,SONY MUSIC,2004-07-13,午后,场景,《我眼里看到的是你眼里看不到的我》,T榜,,http://musicdata.baidu.com/data2/lrc/357c0401fae4d85d8ca068d15fdd3758/271974635/271974635.lrc,23
23,《Kaleidoscope Heart》,Epic/CTI,2010-09-07,午后,场景,Breathe Again,Sara Bareilles,,http://musicdata.baidu.com/data2/lrc/655462/655462.lrc,23
23,校园民谣,Epic/CTI,2010-09-07,午后,场景,某刻,T榜,,http://musicdata.baidu.com/data2/lrc/6d85ac2b7a700fd38f4684e776dcfe45/271975886/271975886.lrc,23
23,当代节奏布鲁斯,Epic/CTI,2010-09-07,午后,场景,因为有你,T榜,,http://musicdata.baidu.com/data2/lrc/d58bd9fd7f7d5210ab90b3efe38bfef2/271974247/271974247.lrc,23
23,《Afterglow》,Arista,2004-01-31,午后,场景,Dirty Little Secret,Sarah McLachlan,,http://musicdata.baidu.com/data2/lrc/240708566/240708566.lrc,23
23,英式摇滚,Arista,2004-01-31,午后,场景,北京-王远行,T榜,,http://musicdata.baidu.com/data2/lrc/fe730a074210a03fe272b746bc40cad0/267543956/267543956.lrc,23
23,流行朋克,Arista,2004-01-31,午后,场景,《大小姐》,T榜,,http://musicdata.baidu.com/data2/lrc/55d057d23fe5cf43b0f8acfe330e3d2c/267543664/267543664.lrc,23
23,国语流行,Arista,2004-01-31,午后,场景,绚烂,T榜,,http://musicdata.baidu.com/data2/lrc/cbd3ad1340885d0c240d2290aee7eacb/267537905/267537905.lrc,23
24,成人抒情,Arista,2004-01-31,午后,场景,真的忘不了,T榜,,http://musicdata.baidu.com/data2/lrc/30c45928aba151871dd779d0cd5a89d4/271975293/271975293.lrc,24
24,主旋律,Arista,2004-01-31,午后,场景,海阔天空,T榜,,http://musicdata.baidu.com/data2/lrc/7a593db7067c4717da5efc9f91dd48de/271974016/271974016.lrc,24
24,《唯美派》,海雷音乐,2008-09-25,午后,场景,South Lake,张一益,,http://musicdata.baidu.com/data2/lrc/1bad855b0dae307dd5cc206eb95ab532/288824533/288824533.lrc,24
