,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
2,《似水流年》,泰达唱片,2003-09-01,咖啡厅,场景,八月照相馆,李健,,http://musicdata.baidu.com/data2/lrc/248364/248364.lrc,2
2,《似水流年》,泰达唱片,2003-09-01,咖啡厅,场景,温暖,李健,,http://musicdata.baidu.com/data2/lrc/225934/225934.lrc,2
2,《想念你》,无线星空,2007-04-01,咖啡厅,场景,童年,李健,,http://musicdata.baidu.com/data2/lrc/14905652/14905652.lrc,2
2,《想念你》,无线星空,2007-04-01,咖啡厅,场景,想念你,李健,,http://musicdata.baidu.com/data2/lrc/2076483/2076483.lrc,2
3,《为你而来》,乐扑盛世,2005-01-01,咖啡厅,场景,向往,李健,,http://musicdata.baidu.com/data2/lrc/13765460/13765460.lrc,3
3,《想念你》,无线星空,2007-04-01,咖啡厅,场景,松花江,李健,,http://musicdata.baidu.com/data2/lrc/1786079/1786079.lrc,3
3,《想念你》,无线星空,2007-04-01,咖啡厅,场景,异乡人,李健,,http://musicdata.baidu.com/data2/lrc/14874257/14874257.lrc,3
3,《想念你》,无线星空,2007-04-01,咖啡厅,场景,天狐,李健,,http://musicdata.baidu.com/data2/lrc/1352646/1352646.lrc,3
3,《想念你》,无线星空,2007-04-01,咖啡厅,场景,抚仙湖,李健,,http://musicdata.baidu.com/data2/lrc/14872959/14872959.lrc,3
3,《左手》,滚石唱片,1997-07-01,咖啡厅,场景,左手,万芳,,http://musicdata.baidu.com/data2/lrc/594699/594699.lrc,3
3,《收信快乐》,滚石唱片,1992-05-22,咖啡厅,场景,收信快乐,万芳,,http://musicdata.baidu.com/data2/lrc/2110039/2110039.lrc,3
3,《Naughty But Nice》,环球唱片,2008-04-29,咖啡厅,场景,Living To Love You,Sarah Connor,,http://musicdata.baidu.com/data2/lrc/13897117/13897117.lrc,3
3,《Christmas In My Heart》,环球唱片,2008-04-29,咖啡厅,场景,Christmas In My Heart,Sarah Connor,,http://musicdata.baidu.com/data2/lrc/13758725/13758725.lrc,3
3,《就 i 莫文蔚精选》,SONY MUSIC,2008-06-25,咖啡厅,场景,Close To You,莫文蔚,,http://musicdata.baidu.com/data2/lrc/13903171/13903171.lrc,3
3,《[i]》,SONY MUSIC,2002-04-18,咖啡厅,场景,Close To You,莫文蔚,,http://musicdata.baidu.com/data2/lrc/240076006/240076006.lrc,3
3,《The Essential Leonard Cohen 3.0》,SONY MUSIC,2010-07-26,咖啡厅,场景,In My Secret Life,Leonard Cohen,,http://musicdata.baidu.com/data2/lrc/240322784/240322784.lrc,3
3,《Bring You Home》,环球唱片,2006-06-05,咖啡厅,场景,Superman,Ronan Keating,,http://musicdata.baidu.com/data2/lrc/525876/525876.lrc,3
3,《最初的梦想》,福茂唱片,2004-05-01,咖啡厅,场景,因为,范玮琪,,http://musicdata.baidu.com/data2/lrc/972592/972592.lrc,3
3,《Taylor Swift》,环球唱片,2013-08-26,咖啡厅,场景,Tim Mcgraw,Taylor Swift,,http://musicdata.baidu.com/data2/lrc/33867c31f34090ecead21c13e5b2cf98/275022040/275022040.lrc,3
3,《西界》,海蝶音乐,2007-06-29,咖啡厅,场景,大男人·小女孩,林俊杰,,http://musicdata.baidu.com/data2/lrc/14901364/14901364.lrc,3
