,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
2,《25 More Sunday School Songs Kids Love To Sing》,EMI,2003-09-18,天籁童声,人声,"Wide, Wide As The Ocean (25 More Sunday School Songs Album Version)",Kids Choir,http://musicdata.baidu.com/data2/lrc/114830107/114830107.lrc,2
2,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Mince Pie Or Pudding,Kids Choir,http://musicdata.baidu.com/data2/lrc/114830107/114830107.lrc,2
2,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Brush Your Teeth,Kids Choir,http://musicdata.baidu.com/data2/lrc/106243652/106243652.lrc,2
2,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Marching Along,Kids Choir,http://musicdata.baidu.com/data2/lrc/109020218/109020218.lrc,2
2,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Six Little Ducks,Kids Choir,http://musicdata.baidu.com/data2/lrc/118208323/118208323.lrc,2
2,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Father We Thank Thee,Kids Choir,http://musicdata.baidu.com/data2/lrc/107247439/107247439.lrc,2
2,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Ring Around The Rosy,Kids Choir,http://musicdata.baidu.com/data2/lrc/106250594/106250594.lrc,2
2,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Barnyard Family,Kids Choir,http://musicdata.baidu.com/data2/lrc/106250594/106250594.lrc,2
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,The More We Get Together,Kids Choir,http://musicdata.baidu.com/data2/lrc/12683640/12683640.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Train Is A-Coming,Kids Choir,http://musicdata.baidu.com/data2/lrc/114784642/114784642.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,"Wide, Wide As The Ocean",Kids Choir,http://musicdata.baidu.com/data2/lrc/109019519/109019519.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,The Farmer In The Dell,Kids Choir,http://musicdata.baidu.com/data2/lrc/12683603/12683603.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,"It S Raining, It S Pouring",Kids Choir,http://musicdata.baidu.com/data2/lrc/12683603/12683603.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Shoo Fly Don T Bother Me,Kids Choir,http://musicdata.baidu.com/data2/lrc/12683603/12683603.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,This Old Man,Kids Choir,http://musicdata.baidu.com/data2/lrc/12683600/12683600.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,The Wheels On The Bus,Kids Choir,http://musicdata.baidu.com/data2/lrc/106237775/106237775.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,"Hallelu, Hallelujah",Kids Choir,http://musicdata.baidu.com/data2/lrc/106237775/106237775.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,The Alphabet Song,Kids Choir,http://musicdata.baidu.com/data2/lrc/12683576/12683576.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Bingo,Kids Choir,http://musicdata.baidu.com/data2/lrc/12683575/12683575.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Are You Sleeping,Kids Choir,http://musicdata.baidu.com/data2/lrc/12683570/12683570.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Hokey Pokey,Kids Choir,http://musicdata.baidu.com/data2/lrc/106250380/106250380.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Itsy Bitsy Spider,Kids Choir,http://musicdata.baidu.com/data2/lrc/12683565/12683565.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Roll Over,Kids Choir,http://musicdata.baidu.com/data2/lrc/12683562/12683562.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,"Michael, Row The Boat Ashore",Kids Choir,http://musicdata.baidu.com/data2/lrc/12683560/12683560.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,London Bridge,Kids Choir,http://musicdata.baidu.com/data2/lrc/12683546/12683546.lrc,3
3,《118 Songs Kids Love To Sing》,EMI,2009-09-22,天籁童声,人声,Do Your Ears Hang Low?,Kids Choir,http://musicdata.baidu.com/data2/lrc/10650166/10650166.lrc,3
3,《Songs From The Silver Screen》,SONY MUSIC,2012-10-01,天籁童声,人声,Reflection,Jackie Evancho,http://musicdata.baidu.com/data2/lrc/114738831/114738831.lrc,3
3,《Songs From The Silver Screen》,SONY MUSIC,2012-10-01,天籁童声,人声,The Music of the Night,Jackie Evancho,http://musicdata.baidu.com/data2/lrc/114826182/114826182.lrc,3
4,《Songs From The Silver Screen》,SONY MUSIC,2012-10-01,天籁童声,人声,Pure Imagination,Jackie Evancho,http://musicdata.baidu.com/data2/lrc/66599977/66599977.lrc,4
4,《Ultimate Collection: Lullabies》,EMI,2008-03-11,天籁童声,人声,Timeless Medley (25 Lullabies Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114599046/114599046.lrc,4
4,《25 More Sunday School Songs》,EMI,1998-03-12,天籁童声,人声,"Wide, Wide As The Ocean (25 More Sunday School Songs Album Version)",Kids Choir,http://musicdata.baidu.com/data2/lrc/116540138/116540138.lrc,4
4,《25 More Sunday School Songs》,EMI,1998-03-12,天籁童声,人声,Marching Along (25 More Sunday School Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114590844/114590844.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Are You Sleeping (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673695/12673695.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,London Bridge (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673691/12673691.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,The Farmer In The Dell (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673685/12673685.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Father We Thank Thee (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114584108/114584108.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Barnyard Family (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114584108/114584108.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,The More We Get Together (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673674/12673674.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,The Alphabet Song (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673673/12673673.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Train Is A Coming (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114739325/114739325.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,This Old Man (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673671/12673671.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Brush Your Teeth (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673671/12673671.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,"Shoo Fly, Don T Bother Me (25 Toddler Songs Album Version)",Kids Choir,http://musicdata.baidu.com/data2/lrc/12673671/12673671.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Hokey Pokey (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114583230/114583230.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Six Little Ducks (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114583002/114583002.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,The Wheels On The Bus (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114703406/114703406.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Roll Over (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673661/12673661.lrc,4
4,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Bingo (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673659/12673659.lrc,4
5,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Do Your Ears Hang Low? (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673659/12673659.lrc,5
5,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Itsy Bitsy Spider (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673655/12673655.lrc,5
5,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,"It S Raining, It S Pouring (25 Toddler Songs Album Version)",Kids Choir,http://musicdata.baidu.com/data2/lrc/12673655/12673655.lrc,5
5,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Mince Pie Or Pudding (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12673655/12673655.lrc,5
5,《25 Toddler Songs Preschoolers》,EMI,1997-12-11,天籁童声,人声,Ring Around The Rosy (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114739709/114739709.lrc,5
5,《25 Lullabies Kids Love To Dream》,EMI,2007-04-03,天籁童声,人声,Timeless Medley,Kids Choir,http://musicdata.baidu.com/data2/lrc/68162967/68162967.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,The Wheels On The Bus (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114583275/114583275.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,The More We Get Together (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12503284/12503284.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,Train Is A Coming (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114738515/114738515.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,Six Little Ducks (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114583011/114583011.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,Hokey Pokey (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114588058/114588058.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,Are You Sleeping (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12503270/12503270.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,"Shoo Fly, Don T Bother Me (25 Toddler Songs Album Version)",Kids Choir,http://musicdata.baidu.com/data2/lrc/12503270/12503270.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,Itsy Bitsy Spider (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12503260/12503260.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,London Bridge (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12503259/12503259.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,Brush Your Teeth (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/114583284/114583284.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,Roll Over (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12503258/12503258.lrc,5
5,《25 Toddler Songs For Preschoolers》,EMI,2003-05-08,天籁童声,人声,The Alphabet Song (25 Toddler Songs Album Version),Kids Choir,http://musicdata.baidu.com/data2/lrc/12503257/12503257.lrc,5
