,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
11,《Use Your Illusion II》,环球唱片,1991-09-16,经典老歌,热门,Civil War,Guns N' Roses,,http://musicdata.baidu.com/data2/lrc/240156718/240156718.lrc,11
12,《就是陈洁仪演唱会》,未知,2002-01-01,经典老歌,热门,心痛,陈洁仪,,http://musicdata.baidu.com/data2/lrc/241237994/241237994.lrc,12
12,《Appetite For Destruction+G N'R Lies+The Spaghetti Incident》,环球唱片,2003-07-28,经典老歌,热门,Sweet Child O' Mine,Guns N' Roses,,http://musicdata.baidu.com/data2/lrc/240277807/240277807.lrc,12
12,《邓丽君演唱会88极品》,环球音乐集团（Universal Music Group）,1997-04-24,经典老歌,热门,星,邓丽君,,http://musicdata.baidu.com/data2/lrc/131707044/131707044.lrc,12
12,《Andrea Bocelli - Romanza》,环球唱片,1997-05-02,经典老歌,热门,Time To Say Goodbye (Con Te Partiro),"Andrea Bocelli,Sarah Brightman",,http://musicdata.baidu.com/data2/lrc/68731032/68731032.lrc,12
12,《Nevermind》,环球唱片,2013-08-26,经典老歌,热门,Smells Like Teen Spirit,Nirvana,,http://musicdata.baidu.com/data2/lrc/1072238/1072238.lrc,12
12,《好歌茹芸》,环球唱片,2011-05-13,经典老歌,热门,突然想爱你,许茹芸,,http://musicdata.baidu.com/data2/lrc/31549117/31549117.lrc,12
12,《Complete Clapton》,环球唱片,2010-03-04,经典老歌,热门,Tears In Heaven,Eric Clapton,,http://musicdata.baidu.com/data2/lrc/7469618/7469618.lrc,12
12,《黄凯芹给您留念30首》,环球唱片,2009-07-14,经典老歌,热门,蝶恋花,黄凯芹,,http://musicdata.baidu.com/data2/lrc/7349480/7349480.lrc,12
12,《情歌·豪驾魅音①》,环球唱片,2008-06-22,经典老歌,热门,被遗忘的时光,蔡琴,,http://musicdata.baidu.com/data2/lrc/1967675/1967675.lrc,12
12,《柔情蜜语》,环球唱片,2008-06-22,经典老歌,热门,追求,刘紫玲,,http://musicdata.baidu.com/data2/lrc/423852/423852.lrc,12
12,《饿狼传说》,环球唱片,1994-05-01,经典老歌,热门,只有你不知道,张学友,,http://musicdata.baidu.com/data2/lrc/312434/312434.lrc,12
12,《幸福男子》,天凯唱片,2006-01-01,经典老歌,热门,倩女幽魂,陈晓东,,http://musicdata.baidu.com/data2/lrc/2044749/2044749.lrc,12
12,《Complete Clapton》,天凯唱片,2010-03-04,经典老歌,热门,Wonderful Tonight,Eric Clapton,,http://musicdata.baidu.com/data2/lrc/7388218/7388218.lrc,12
