,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
16,《父母》,博艺唱片,2016-05-15,新歌,热门,父母,肖亮,,http://musicdata.baidu.com/data2/lrc/4b63fc54fff7c929d427e14f8a725bf8/265829483/265829483.lrc,16
16,《农民工我的好兄弟》,魔音唱片,2016-05-24,新歌,热门,静,刘建东,,http://musicdata.baidu.com/data2/lrc/79e94420de14a93b720622e49c60c9af/271975926/271975926.lrc,16
16,《再续前缘》,弦音文化,2016-06-08,新歌,热门,再续前缘,萌萌哒天团,,http://musicdata.baidu.com/data2/lrc/ad3312e39221510465a65d9c32312f8e/267099763/267099763.lrc,16
16,《T榜第三期》,海蝶音乐,2016-05-26,新歌,热门,看你交的什么朋友,annett万岁爷,,http://musicdata.baidu.com/data2/lrc/115171e10da70fdf83bfd75a20085ddd/276712472/276712472.lrc,16
16,《仙剑云之凡》,凤凰涅盘,2016-06-02,新歌,热门,仙剑云之凡,赵斌,,http://musicdata.baidu.com/data2/lrc/491b5b71fa0e44531cc7463146aa086f/266263839/266263839.lrc,16
16,《蜜蜂少女队》,海蝶音乐,2016-03-12,新歌,热门,生日快乐+新生日歌,蜜蜂少女队,,http://musicdata.baidu.com/data2/lrc/71e6674d224437ec0f083916fc71fb08/265845773/265845773.lrc,16
16,《Young Rock Star》,弦知音文化,2016-06-06,新歌,热门,Wake Up,贝贝,,http://musicdata.baidu.com/data2/lrc/25131ef60b9743b2d334aeef7df2c729/266244222/266244222.lrc,16
16,《蜜蜂少女队》,海蝶音乐,2016-03-12,新歌,热门,See you again+我的歌声里,蜜蜂少女队,,http://musicdata.baidu.com/data2/lrc/809d92aa8b41a7b2b4b6e8fb30c8528d/265910027/265910027.lrc,16
16,《佛前哭泣的玫瑰》,通力唱片,2016-06-12,新歌,热门,佛前哭泣的玫瑰,倪尔萍,,http://musicdata.baidu.com/data2/lrc/23f76c416bae7bbec8bdfa52533fac4d/266806363/266806363.lrc,16
16,《心有花开》,木南十一,2016-06-06,新歌,热门,吉祥,小娟&山谷里的居民,,http://musicdata.baidu.com/data2/lrc/505731709a8ff87941d51a9e31ebd3a3/267334700/267334700.lrc,16
16,《幸福在一起 电视原声带》,通力唱片,2016-05-23,新歌,热门,防御,樊凡,,http://musicdata.baidu.com/data2/lrc/8e6a5d392d8868a01753d6ef17e198d3/265943596/265943596.lrc,16
16,《心飞扬梦启航》,尚音文化,2016-05-17,新歌,热门,大哥,李文华,,http://musicdata.baidu.com/data2/lrc/937201596355c6ad57e1242c473de834/265836908/265836908.lrc,16
16,《Young Rock Star》,弦知音文化,2016-06-06,新歌,热门,逝.爱 (中文版),贝贝,,http://musicdata.baidu.com/data2/lrc/aadda3637477eaaefb97daeeafb48244/266267651/266267651.lrc,16
16,《Mr. Man》,九洲音像,2016-06-13,新歌,热门,我的梦,满江,,http://musicdata.baidu.com/data2/lrc/6eb40863682e35cc4191e39db7cd196c/266502768/266502768.lrc,16
16,《茶马古道》,希望无限,2016-06-28,新歌,热门,茶马古道,李天华,,http://musicdata.baidu.com/data2/lrc/5573f01efb01181b77022b6e3d4cf3c5/266966884/266966884.lrc,16
17,《岁月是把杀猪刀》,凤凰涅盘,2016-05-26,新歌,热门,岁月是把杀猪刀 (男和声版),赵斌,,http://musicdata.baidu.com/data2/lrc/b8e74182210908af8d9c1c3e6d31b9eb/266137152/266137152.lrc,17
17,《再给我一点时间啊》,种子音乐,2016-05-17,新歌,热门,再给我一点时间啊,袁惟仁,,http://musicdata.baidu.com/data2/lrc/38f866a7974ebff714ec853da2f2517d/265845709/265845709.lrc,17
