,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
2,《Michael Bolton The Very Best》,SONY MUSIC,2010-02-10,深情,心情,When A Man Loves A Woman,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7435212/7435212.lrc,2
2,《Michael Bolton The Very Best》,SONY MUSIC,2010-02-10,深情,心情,Said I Loved You...But I Lied,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7431918/7431918.lrc,2
2,《Michael Bolton - Best Of》,SONY MUSIC,2010-02-10,深情,心情,The Best Of Love,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7400784/7400784.lrc,2
2,《Michael Bolton - Best Of》,SONY MUSIC,2010-02-10,深情,心情,Said I Loved You...But I Lied,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7469670/7469670.lrc,2
2,《Michael Bolton - Best Of》,SONY MUSIC,2010-02-10,深情,心情,When A Man Loves A Woman,Michael Bolton,,http://musicdata.baidu.com/data2/lrc/7400702/7400702.lrc,2
3,《Bon Jovi Greatest Hits》,环球唱片,2010-11-02,深情,心情,Always,Bon Jovi,,http://musicdata.baidu.com/data2/lrc/7469644/7469644.lrc,3
3,《Vivere - Live In Tuscany》,环球唱片,2010-01-13,深情,心情,Canto Della Terra,Andrea Bocelli,,http://musicdata.baidu.com/data2/lrc/7388253/7388253.lrc,3
3,《Greatest Hits - The Ultimate Collection》,环球唱片,2010-11-09,深情,心情,Always,Bon Jovi,,http://musicdata.baidu.com/data2/lrc/7469596/7469596.lrc,3
3,《The Best of Andrea Bocelli - 'Vivere'》,环球唱片,2010-11-09,深情,心情,Canto Della Terra,Andrea Bocelli,,http://musicdata.baidu.com/data2/lrc/7469596/7469596.lrc,3
3,《Sandy Denny Complete Edition》,环球唱片,2011-02-23,深情,心情,Full Moon,Sandy Denny,,http://musicdata.baidu.com/data2/lrc/12730743/12730743.lrc,3
3,《活出生命Live演唱会》,环球唱片,2004-12-01,深情,心情,爱如潮水,张学友,,http://musicdata.baidu.com/data2/lrc/251695902/251695902.lrc,3
3,《我的真心献给你》,环球唱片,2009-07-14,深情,心情,两个人一颗心,黎明,,http://musicdata.baidu.com/data2/lrc/12728174/12728174.lrc,3
3,《Simply Me》,环球唱片,2007-03-26,深情,心情,咬唇,杨千嬅,,http://musicdata.baidu.com/data2/lrc/7362638/7362638.lrc,3
3,《Make Up》,新艺宝,2003-07-01,深情,心情,咬唇,杨千嬅,,http://musicdata.baidu.com/data2/lrc/7362385/7362385.lrc,3
