,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,页数
48,《因为爱情》,环球唱片,2011-01-14,天籁,人声,因为爱情,"陈奕迅,王菲",http://musicdata.baidu.com/data2/lrc/e0bdb7f6ebc0f606fa87d29488172ec3/267827100/267827100.lrc,48
48,《一人分饰两角》,环球唱片,1995-03-01,天籁,人声,知己知彼 (Europe Mix),王菲,http://musicdata.baidu.com/data2/lrc/8244385/8244385.lrc,48
48,《一人分饰两角》,环球唱片,1995-03-01,天籁,人声,我愿意 (弦乐版),王菲,http://musicdata.baidu.com/data2/lrc/7362311/7362311.lrc,48
48,《只爱陌生人》,环球唱片,1995-03-01,天籁,人声,精彩,王菲,http://musicdata.baidu.com/data2/lrc/13915193/13915193.lrc,48
48,《我愿意》,环球唱片,1997-09-01,天籁,人声,只因喜欢菲,"王菲,林海峰",http://musicdata.baidu.com/data2/lrc/14942671/14942671.lrc,48
48,《我愿意》,环球唱片,1997-09-01,天籁,人声,冷战,王菲,http://musicdata.baidu.com/data2/lrc/251699542/251699542.lrc,48
49,《天空》,环球唱片,1994-11-04,天籁,人声,天使,王菲,http://musicdata.baidu.com/data2/lrc/13904679/13904679.lrc,49
49,《Pure... Summer》,SONY MUSIC,2011-06-06,天籁,人声,Sand In My Shoes,Dido,http://musicdata.baidu.com/data2/lrc/7360368/7360368.lrc,49
49,《Pure... 80'S Dance Party》,SONY MUSIC,2011-06-06,天籁,人声,I Wanna Dance With Somebody,Whitney Houston,http://musicdata.baidu.com/data2/lrc/13902073/13902073.lrc,49
49,《唯美女声》,SONY MUSIC,2010-03-22,天籁,人声,Miss You Night And Day,王菲,http://musicdata.baidu.com/data2/lrc/8558212/8558212.lrc,49
49,《唯美女声》,SONY MUSIC,2010-03-22,天籁,人声,天空,王菲,http://musicdata.baidu.com/data2/lrc/b935826c969f64bc02185fdae3312651/257170450/257170450.lrc,49
49,《A Little Love》,SONY MUSIC,2008-05-26,天籁,人声,Flow,冯曦妤,http://musicdata.baidu.com/data2/lrc/b935826c969f64bc02185fdae3312651/257170450/257170450.lrc,49
49,《A Little Love》,SONY MUSIC,2008-05-26,天籁,人声,Forever Friends,冯曦妤,http://musicdata.baidu.com/data2/lrc/240464285/240464285.lrc,49
49,《A Little Love》,SONY MUSIC,2008-05-26,天籁,人声,Hidden Romance,冯曦妤,http://musicdata.baidu.com/data2/lrc/42904383406184b02bde6e86098f0936/288834368/288834368.lrc,49
49,《A Little Love》,SONY MUSIC,2008-05-26,天籁,人声,A Wonderful Day,冯曦妤,http://musicdata.baidu.com/data2/lrc/13909138/13909138.lrc,49
49,《A Little Love》,SONY MUSIC,2008-05-26,天籁,人声,The Glorious Death,冯曦妤,http://musicdata.baidu.com/data2/lrc/4f5d6b8600d23b23f55c6e2e184d6763/257167926/257167926.lrc,49
49,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,千言万语,王菲,http://musicdata.baidu.com/data2/lrc/70248113/70248113.lrc,49
49,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,Di-Dar,王菲,http://musicdata.baidu.com/data2/lrc/70248058/70248058.lrc,49
49,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,天与地,王菲,http://musicdata.baidu.com/data2/lrc/70247972/70247972.lrc,49
49,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,天空,王菲,http://musicdata.baidu.com/data2/lrc/70247917/70247917.lrc,49
49,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,出路,王菲,http://musicdata.baidu.com/data2/lrc/70247857/70247857.lrc,49
49,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,背影,王菲,http://musicdata.baidu.com/data2/lrc/70247788/70247788.lrc,49
49,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,黄昏里,王菲,http://musicdata.baidu.com/data2/lrc/117fd73157b2b5c7c960521806d2b7f8/266633672/266633672.lrc,49
49,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,流非飞,王菲,http://musicdata.baidu.com/data2/lrc/70247671/70247671.lrc,49
49,《The Best Of Best》,环球唱片,1999-02-17,天籁,人声,雪中莲,王菲,http://musicdata.baidu.com/data2/lrc/70247620/70247620.lrc,49
