,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
50,《Introducing》,SONY MUSIC,2002-05-24,萨克斯,热门,Cosmic Funk,Lonnie Liston Smith And The Cosmic Echoes,,http://musicdata.baidu.com/data2/lrc/12599653/12599653.lrc,50
50,《This Is Jazz #11》,SONY MUSIC,1996-09-22,萨克斯,热门,Dickie'S Dream,Count Basie,,http://musicdata.baidu.com/data2/lrc/12599653/12599653.lrc,50
50,《I Like Jazz: The Essence Of Billie Holiday》,SONY MUSIC,1993-06-07,萨克斯,热门,All Of Me,Billie Holiday,,http://musicdata.baidu.com/data2/lrc/12599576/12599576.lrc,50
50,《The Essence Of Maynard Ferguson》,SONY MUSIC,1993-01-26,萨克斯,热门,Macarthur Park,Maynard Ferguson,,http://musicdata.baidu.com/data2/lrc/12599576/12599576.lrc,50
50,《A Jazz Collection》,SONY MUSIC,1993-07-21,萨克斯,热门,Maiden Voyage,Herbie Hancock,,http://musicdata.baidu.com/data2/lrc/12599576/12599576.lrc,50
50,《This Is Jazz #22 - Miles Davis Plays Ballads》,SONY MUSIC,1997-06-11,萨克斯,热门,Old Folks,Miles Davis,,http://musicdata.baidu.com/data2/lrc/12599576/12599576.lrc,50
50,《Circle In The Round》,SONY MUSIC,1993-06-07,萨克斯,热门,Two Bass Hit,Miles Davis,,http://musicdata.baidu.com/data2/lrc/12599576/12599576.lrc,50
50,《I Like Jazz: The Essence Of Billie Holiday》,SONY MUSIC,1993-06-07,萨克斯,热门,I'Ll Never Be The Same,Billie Holiday,,http://musicdata.baidu.com/data2/lrc/67485881/67485881.lrc,50
50,《Benny Goodman On The Air 1937 - 38》,SONY MUSIC,1991-03-11,萨克斯,热门,Sometimes I'M Happy,Benny Goodman,,http://musicdata.baidu.com/data2/lrc/67485881/67485881.lrc,50
50,《Wynton Marsalis》,SONY MUSIC,1993-06-07,萨克斯,热门,Father Time,Wynton Marsalis,,http://musicdata.baidu.com/data2/lrc/12598988/12598988.lrc,50
50,《The Complete Rca Victor Recordings》,SONY MUSIC,1996-04-08,萨克斯,热门,Manteca,Dizzy Gillespie,,http://musicdata.baidu.com/data2/lrc/12598988/12598988.lrc,50
50,《Thrust》,SONY MUSIC,1998-09-16,萨克斯,热门,Spank-A-Lee,Herbie Hancock,,http://musicdata.baidu.com/data2/lrc/12598988/12598988.lrc,50
50,《Love Songs》,SONY MUSIC,1999-02-03,萨克斯,热门,I Thought About You,Miles Davis,,http://musicdata.baidu.com/data2/lrc/12598988/12598988.lrc,50
50,《Planet Jazz: Swing》,SONY MUSIC,1999-12-04,萨克斯,热门,Swingin' Uptown,Jimmie Lunceford,,http://musicdata.baidu.com/data2/lrc/12598988/12598988.lrc,50
50,《Live At Carnegie Hall-1938 Complete》,SONY MUSIC,1993-01-19,萨克斯,热门,Sometimes I'M Happy,Benny Goodman,,http://musicdata.baidu.com/data2/lrc/12598988/12598988.lrc,50
50,《The Best Of The Miles Davis Quintet (1965-1968)》,SONY MUSIC,1999-08-11,萨克斯,热门,Riot,Miles Davis,,http://musicdata.baidu.com/data2/lrc/12598725/12598725.lrc,50
50,《Sonny Rollins & Co. 1964》,SONY MUSIC,1996-03-19,萨克斯,热门,Long Ago And Far Away,Sonny Rollins,,http://musicdata.baidu.com/data2/lrc/12598725/12598725.lrc,50
